Ano de eleição;Cargo;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Zona;Votos válidos;Votos nominais;Data de carga
2018;Presidente;97012;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;CIRO FERREIRA GOMES;12;Advogado;PDT;CENTRO-OESTE;Não Eleito;1;DF;5;97147;15692;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;JAIR MESSIAS BOLSONARO;17;Membro das Forças Armadas;PSL;CENTRO-OESTE;Segundo turno;1;DF;6;96315;55130;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Segundo turno;1;DF;1;62448;6107;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Segundo turno;1;DF;4;71147;8790;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;JAIR MESSIAS BOLSONARO;17;Membro das Forças Armadas;PSL;CENTRO-OESTE;Segundo turno;1;DF;2;77807;42633;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;BRASÍLIA;GUILHERME CASTRO BOULOS;50;Historiador;PSOL;CENTRO-OESTE;Não Eleito;1;DF;5;97147;797;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Segundo turno;1;DF;6;96315;14955;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;JAIR MESSIAS BOLSONARO;17;Membro das Forças Armadas;PSL;CENTRO-OESTE;Segundo turno;1;DF;8;100694;58556;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);70 a 74 anos;Masculino;Superior completo;BRASÍLIA;ALVARO FERNANDES DIAS;19;Senador;PODE;CENTRO-OESTE;Não Eleito;1;DF;8;100694;615;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);70 a 74 anos;Masculino;Superior completo;BRASÍLIA;HENRIQUE DE CAMPOS MEIRELLES;15;Engenheiro;MDB;CENTRO-OESTE;Não Eleito;1;DF;8;100694;1995;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;JAIR MESSIAS BOLSONARO;17;Membro das Forças Armadas;PSL;CENTRO-OESTE;Segundo turno;1;DF;9;96816;55669;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;CIRO FERREIRA GOMES;12;Advogado;PDT;CENTRO-OESTE;Não Eleito;1;DF;10;86412;13085;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Segundo turno;1;DF;11;57878;4916;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;BRASÍLIA;GERALDO JOSÉ RODRIGUES ALCKMIN FILHO;45;Médico;PSDB;CENTRO-OESTE;Não Eleito;1;DF;13;98681;3758;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;CIRO FERREIRA GOMES;12;Advogado;PDT;CENTRO-OESTE;Não Eleito;1;DF;20;57781;8804;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Não Eleito;2;DF;8;97950;30155;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Não Eleito;2;DF;11;54384;16635;2024-11-13 10:56:11
2018;Presidente;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;FERNANDO HADDAD;13;Professor de Ensino Superior;PT;CENTRO-OESTE;Não Eleito;2;DF;15;111353;31559;2024-11-13 10:56:11
2018;Governador;97012;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;BRASÍLIA;PAULO CHAGAS;44;Militar Reformado;PRP;CENTRO-OESTE;Não Eleito;1;DF;1;55745;6355;2024-11-13 10:56:11
2018;Governador;97012;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;BRASÍLIA;ALEXANDRE FREIRE GUERRA;30;Advogado;NOVO;CENTRO-OESTE;Não Eleito;1;DF;5;91657;3326;2024-11-13 10:56:11
2018;Governador;97012;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;BRASÍLIA;PAULO CHAGAS;44;Militar Reformado;PRP;CENTRO-OESTE;Não Eleito;1;DF;2;73861;4372;2024-11-13 10:56:11
