Ano de eleição;Cargo;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Zona;Votos válidos;Votos nominais;Data de carga
2014;Presidente;97012;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;BRASÍLIA;AÉCIO NEVES DA CUNHA;45;Senador;PSDB;CENTRO-OESTE;Segundo turno;1;DF;4;100541;29156;2020-01-09 17:37:41
2014;Presidente;97012;Branca;Casado(a);75 a 79 anos;Masculino;Superior completo;BRASÍLIA;JOSE MARIA EYMAEL;27;Advogado;PSDC;CENTRO-OESTE;Não Eleito;1;DF;5;96389;77;2020-01-09 17:37:41
2014;Presidente;97012;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;BRASÍLIA;LUCIANA KREBS GENRO;50;Advogado;PSOL;CENTRO-OESTE;Não Eleito;1;DF;8;58022;920;2020-01-09 17:37:41
2014;Presidente;97012;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;BRASÍLIA;MAURO LUÍS IASI;21;Professor de Ensino Superior;PCB;CENTRO-OESTE;Não Eleito;1;DF;10;85063;31;2020-01-09 17:37:41
2014;Presidente;97012;Preta;Casado(a);55 a 59 anos;Feminino;Superior completo;BRASÍLIA;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;40;Historiador;PSB;CENTRO-OESTE;Não Eleito;1;DF;14;74033;20751;2020-01-09 17:37:41
2014;Presidente;97012;Preta;Casado(a);55 a 59 anos;Feminino;Superior completo;BRASÍLIA;MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA;40;Historiador;PSB;CENTRO-OESTE;Não Eleito;1;DF;17;64777;26039;2020-01-09 17:37:41
2014;Governador;97012;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;BRASÍLIA;LUIZ CARLOS PIETSCHMANN;45;Deputado;PSDB;CENTRO-OESTE;Não Eleito;1;DF;1;55079;2547;2018-10-16 17:15:55
2014;Governador;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;AGNELO SANTOS QUEIROZ FILHO;13;Governador;PT;CENTRO-OESTE;Não Eleito;1;DF;3;53264;11523;2018-10-16 17:15:55
2014;Governador;97012;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;BRASÍLIA;LUIZ CARLOS PIETSCHMANN;45;Deputado;PSDB;CENTRO-OESTE;Não Eleito;1;DF;7;37095;1390;2018-10-16 17:15:55
2014;Governador;97012;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;ANTÔNIO CARLOS DE ANDRADE;50;Servidor Público Civil Aposentado;PSOL;CENTRO-OESTE;Não Eleito;1;DF;11;52776;1835;2018-10-16 17:15:55
2014;Governador;97012;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;BRASÍLIA;RODRIGO SOBRAL ROLLEMBERG;40;Senador;PSB;CENTRO-OESTE;Segundo turno;1;DF;13;94739;37862;2018-10-16 17:15:55
2014;Governador;97012;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;ANTÔNIO CARLOS DE ANDRADE;50;Servidor Público Civil Aposentado;PSOL;CENTRO-OESTE;Não Eleito;1;DF;19;74597;1956;2018-10-16 17:15:55
2014;Senador;97012;Branca;Casado(a);60 a 64 anos;Feminino;Superior completo;BRASÍLIA;SANDRA SUELI QUEZADO SOARES;456;Outros;PSDB;CENTRO-OESTE;Não Eleito;1;DF;1;52672;2478;2018-10-16 17:15:55
2014;Senador;97012;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;BRASÍLIA;JOSÉ ANTONIO MACHADO REGUFFE;123;Deputado;PDT;CENTRO-OESTE;Eleito;1;DF;6;87442;42367;2018-10-16 17:15:55
2014;Senador;97012;Preta;Casado(a);40 a 44 anos;Masculino;Superior completo;BRASÍLIA;ROBSON RAYMUNDO DA SILVA;160;Professor de Ensino Médio;PSTU;CENTRO-OESTE;Não Eleito;1;DF;8;52495;138;2018-10-16 17:15:55
2014;Senador;97012;Branca;Separado(a) judicialmente;45 a 49 anos;Masculino;Superior completo;BRASÍLIA;ALDEMARIO ARAUJO CASTRO;500;Advogado;PSOL;CENTRO-OESTE;Não Eleito;1;DF;13;87977;634;2018-10-16 17:15:55
