Ano de eleição;Cargo;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;UF;Zona;Votos válidos;Votos nominais;Data de carga
2006;Presidente;97012;#NE;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;CRISTOVAM RICARDO CALVACANTI BUARQUE;12;Professor de Ensino Superior;PDT;CENTRO-OESTE;Não Eleito;1;DF;7;35586;2000;2022-05-12 13:52:16
2006;Presidente;97012;#NE;Casado(a);65 a 69 anos;Masculino;Superior completo;BRASÍLIA;JOSÉ MARIA EYMAEL;27;Advogado;PSDC;CENTRO-OESTE;Não Eleito;1;DF;7;35586;34;2022-05-12 13:52:16
2006;Presidente;97012;#NE;Separado(a) judicialmente;40 a 44 anos;Feminino;Superior completo;BRASÍLIA;HELOÍSA HELENA LIMA DE MORAES CARVALHO;50;Senador;PSOL;CENTRO-OESTE;Não Eleito;1;DF;7;35586;3089;2022-05-12 13:52:16
2006;Presidente;97012;#NE;Casado(a);60 a 64 anos;Masculino;Superior completo;BRASÍLIA;LUCIANO CALDAS BIVAR;17;Empresário;PSL;CENTRO-OESTE;Não Eleito;1;DF;12;102984;93;2022-05-12 13:52:16
2006;Presidente;97012;#NE;Casado(a);65 a 69 anos;Masculino;Superior completo;BRASÍLIA;JOSÉ MARIA EYMAEL;27;Advogado;PSDC;CENTRO-OESTE;Não Eleito;1;DF;17;68270;72;2022-05-12 13:52:16
2006;Governador;97012;#NE;Separado(a) judicialmente;60 a 64 anos;Feminino;Superior completo;BRASÍLIA;MARIA DE LOURDES ABADIA;45;Governador;PSDB;CENTRO-OESTE;Não Eleito;1;DF;2;63616;19946;2022-05-12 13:52:16
2006;Senador;97012;#NE;Separado(a) judicialmente;40 a 44 anos;Masculino;Superior completo;BRASÍLIA;GÍLSON VASCONCELOS DOBBIN;290;Servidor Público Federal;PCO;CENTRO-OESTE;Não Eleito;1;DF;1;94518;204;2022-05-12 13:52:16
2006;Senador;97012;#NE;Separado(a) judicialmente;40 a 44 anos;Masculino;Superior completo;BRASÍLIA;NEWTON LINS TEIXEIRA DE CARVALHO;170;Advogado;PSL;CENTRO-OESTE;Não Eleito;1;DF;5;76761;358;2022-05-12 13:52:16
2006;Senador;97012;#NE;Solteiro(a);35 a 39 anos;Masculino;Ensino Médio completo;BRASÍLIA;FRANCISCO JOSÉ TARGINO;161;Comerciário;PSTU;CENTRO-OESTE;Não Eleito;1;DF;7;34171;2;2022-05-12 13:52:16
2006;Senador;97012;#NE;Casado(a);70 a 74 anos;Masculino;Superior completo;BRASÍLIA;JOAQUIM DOMINGOS RORIZ;151;Pecuarista;PMDB;CENTRO-OESTE;Eleito;1;DF;8;61190;34039;2022-05-12 13:52:16
2006;Senador;97012;#NE;Casado(a);35 a 39 anos;Masculino;Superior completo;BRASÍLIA;RODRIGO DE SOUZA DANTAS MENDONÇA PINTO;500;Professor de Ensino Superior;PSOL;CENTRO-OESTE;Não Eleito;1;DF;9;80624;967;2022-05-12 13:52:16
2006;Senador;97012;#NE;Casado(a);45 a 49 anos;Masculino;Superior completo;BRASÍLIA;MARCOS CARDOSO CEZAR DA SILVA;255;Empresário;PFL;CENTRO-OESTE;Não Eleito;1;DF;11;45518;876;2022-05-12 13:52:16
2006;Deputado Federal;97012;#NE;Separado(a) judicialmente;45 a 49 anos;Masculino;Superior incompleto;BRASÍLIA;WILTON TAPAJÓS MACÊDO;3131;Servidor Público Federal;PHS;CENTRO-OESTE;Não Eleito;1;DF;1;93543;28;2022-05-12 13:48:48
2006;Deputado Federal;97012;#NE;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio completo;BRASÍLIA;PEDRO JOSE DE CASTRO;1115;Auxiliar de Escritório e Assemelhados;PP;CENTRO-OESTE;Não Eleito;1;DF;1;93543;23;2022-05-12 13:48:48
2006;Deputado Federal;97012;#NE;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;BRASÍLIA;RENATO DUARTE PEREIRA BARBOSA;1799;Bombeiro Militar;PSL;CENTRO-OESTE;Não Eleito;1;DF;1;93543;4;2022-05-12 13:48:48
2006;Deputado Federal;97012;#NE;Casado(a);45 a 49 anos;Masculino;Superior completo;BRASÍLIA;JOSÉ JORGE FREIRE DE ARAUJO;1723;Membro das Forças Armadas;PSL;CENTRO-OESTE;Não Eleito;1;DF;2;59888;0;2022-05-12 13:48:48
2006;Deputado Federal;97012;#NE;Casado(a);50 a 54 anos;Feminino;Superior completo;BRASÍLIA;ROMILDA TEIXEIRA SHINTATE;4522;Advogado;PSDB;CENTRO-OESTE;Suplente;1;DF;2;59888;4;2022-05-12 13:48:48
2006;Deputado Federal;97012;#NE;Casado(a);35 a 39 anos;Masculino;Superior incompleto;BRASÍLIA;FRANCISCO DE ASSIS ARAUJO;3190;Policial Militar;PHS;CENTRO-OESTE;Não Eleito;1;DF;3;92397;45;2022-05-12 13:48:48
2006;Deputado Federal;97012;#NE;Separado(a) judicialmente;45 a 49 anos;Masculino;Ensino Médio completo;BRASÍLIA;HELIO PEREIRA PINTO;3177;Outros;PHS;CENTRO-OESTE;Não Eleito;1;DF;3;92397;28;2022-05-12 13:48:48
